特征,皮尔逊相关系数
low,0.9987592619265685
high,0.99872403325124
open,0.9970067916478321
MA_5,0.9941467576822404
a_close,0.7478081748737605
c_close,0.7232630152109106
ATR_14,0.7051441355622666
OBV,0.5532901144177941
GDP,0.5364308072874313
大豆产量(万吨),0.4693844503161438
hold,-0.4166931514589907
LPR1Y,-0.3151625014600944
MACD,0.28896392378273317
RSI_14,0.28049014364712926
HV_20,0.2623565209927539
volume,-0.19327264007200473
