epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,2.2531678676605225,0.001,0.4121902883052826,0.6004774570465088,4.807795524597168,1.560011863708496,1.728872537612915
1,1.760334849357605,0.001,0.1796921342611313,0.24095405638217926,1.9363092184066772,0.5374493598937988,0.6082254648208618
2,1.4709151983261108,0.001,0.13220462203025818,0.1732189953327179,1.3359479904174805,0.12600433826446533,0.16874150931835175
3,1.220511794090271,0.001,0.12311689555644989,0.15963192284107208,1.1257596015930176,0.19051465392112732,0.217781662940979
4,1.0021291971206665,0.001,0.10362333804368973,0.13785165548324585,0.9918229579925537,0.27744558453559875,0.32627159357070923
5,0.8238295316696167,0.001,0.0968470424413681,0.12981943786144257,0.7923711538314819,0.22115859389305115,0.2554125487804413
6,0.6783697009086609,0.001,0.09138090908527374,0.12082532048225403,0.6524596810340881,0.20203901827335358,0.2305629402399063
7,0.5634662508964539,0.001,0.09187242388725281,0.12362655997276306,0.5882374048233032,0.2595934271812439,0.3031231164932251
8,0.47152581810951233,0.001,0.09302498400211334,0.1256687194108963,0.4916745126247406,0.2313738614320755,0.27766257524490356
9,0.3984256684780121,0.001,0.0935775563120842,0.1257856786251068,0.3712262809276581,0.1192733645439148,0.14614500105381012
10,0.334917813539505,0.001,0.07955668866634369,0.10705273598432541,0.3480759561061859,0.1934392899274826,0.22728055715560913
11,0.28827643394470215,0.001,0.08578627556562424,0.11449795216321945,0.28745660185813904,0.15875551104545593,0.1848386824131012
12,0.24814841151237488,0.001,0.07978315651416779,0.11036870628595352,0.2306111752986908,0.08745410293340683,0.11114093661308289
13,0.2140839546918869,0.001,0.07489929348230362,0.10085969418287277,0.21778951585292816,0.13955184817314148,0.16966234147548676
14,0.18743477761745453,0.001,0.07642041146755219,0.10288539528846741,0.18590807914733887,0.11959556490182877,0.14658603072166443
15,0.1630706787109375,0.001,0.07075398415327072,0.0937781110405922,0.18186351656913757,0.16677872836589813,0.19498805701732635
16,0.14430417120456696,0.001,0.07081098854541779,0.09451466053724289,0.1741369068622589,0.18401318788528442,0.21797294914722443
17,0.1297016739845276,0.001,0.07369528710842133,0.10125827044248581,0.13280466198921204,0.12096184492111206,0.14477157592773438
