epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,0.8404344320297241,0.001,0.5291499495506287,0.6809168457984924,0.4761708378791809,0.26342421770095825,0.3160993158817291
1,0.632629930973053,0.001,0.3994413912296295,0.5099814534187317,0.47796323895454407,0.2669805884361267,0.3327193856239319
2,0.5332690477371216,0.001,0.3260241150856018,0.4152548611164093,0.4565345346927643,0.27488821744918823,0.321418434381485
3,0.47363466024398804,0.001,0.28086432814598083,0.3577216863632202,0.3896130323410034,0.18731097877025604,0.2290888875722885
4,0.4302768111228943,0.001,0.2477763295173645,0.3182164430618286,0.39458051323890686,0.23436689376831055,0.2731878459453583
5,0.38935863971710205,0.001,0.21805094182491302,0.2790619730949402,0.3328774571418762,0.14021432399749756,0.17520950734615326
6,0.3548387289047241,0.001,0.1938757598400116,0.2473868876695633,0.3125153183937073,0.1261887401342392,0.16787505149841309
7,0.3288886249065399,0.001,0.18096940219402313,0.23004324734210968,0.2890757918357849,0.11441291868686676,0.14901791512966156
8,0.30562373995780945,0.001,0.17243045568466187,0.21665699779987335,0.285743772983551,0.14705108106136322,0.18949630856513977
9,0.28274020552635193,0.001,0.15844902396202087,0.2019139528274536,0.26257359981536865,0.13140414655208588,0.1704588234424591
10,0.26238125562667847,0.001,0.1480737030506134,0.19062472879886627,0.24552962183952332,0.12600070238113403,0.16587823629379272
11,0.242533341050148,0.001,0.1395566314458847,0.1777876615524292,0.22674602270126343,0.11788541823625565,0.15305252373218536
12,0.22556331753730774,0.001,0.1316876858472824,0.17010635137557983,0.21301382780075073,0.12345749884843826,0.15335512161254883
13,0.21145090460777283,0.001,0.13191281259059906,0.16791173815727234,0.195903480052948,0.10948093235492706,0.13894988596439362
14,0.19625195860862732,0.001,0.12490145862102509,0.15965738892555237,0.1907343864440918,0.13489477336406708,0.16183848679065704
15,0.18286176025867462,0.001,0.12033729255199432,0.1541110724210739,0.17237403988838196,0.11157865822315216,0.138014018535614
16,0.17131845653057098,0.001,0.11781199276447296,0.1518251746892929,0.15718159079551697,0.09371925890445709,0.11958073079586029
17,0.16106513142585754,0.001,0.11851011961698532,0.15117564797401428,0.15694892406463623,0.1231735348701477,0.15393191576004028
18,0.15007686614990234,0.001,0.11299144476652145,0.1453150510787964,0.14796516299247742,0.12920698523521423,0.15355105698108673
19,0.14116577804088593,0.001,0.11280804127454758,0.14405548572540283,0.13535912334918976,0.10696428269147873,0.1384817212820053
20,0.1326504945755005,0.001,0.1112956777215004,0.14194361865520477,0.12735170125961304,0.10548161715269089,0.13698016107082367
21,0.12369969487190247,0.001,0.10621191561222076,0.13599009811878204,0.13186442852020264,0.14567473530769348,0.17392678558826447
22,0.11797047406435013,0.001,0.10984834283590317,0.13950960338115692,0.12296866625547409,0.1353922188282013,0.16667108237743378
23,0.11190664768218994,0.001,0.10783964395523071,0.13997089862823486,0.10629060864448547,0.1041298434138298,0.13040059804916382
24,0.10546405613422394,0.001,0.10588616877794266,0.13710559904575348,0.09509659558534622,0.08439906686544418,0.1059577539563179
25,0.09858422726392746,0.001,0.10162991285324097,0.13088935613632202,0.0920654684305191,0.09116678684949875,0.11489807069301605
26,0.0938919186592102,0.001,0.10086661577224731,0.13153387606143951,0.11552874743938446,0.1809931993484497,0.20337849855422974
27,0.0875127911567688,0.001,0.09620766341686249,0.12426737695932388,0.08773355185985565,0.10596735775470734,0.13385841250419617
28,0.08472083508968353,0.001,0.10003894567489624,0.1298801451921463,0.08527606725692749,0.1105090081691742,0.1396399736404419
29,0.0787796676158905,0.001,0.09289686381816864,0.12168646603822708,0.08682358264923096,0.12337633222341537,0.15736229717731476
30,0.07502761483192444,0.001,0.09372018277645111,0.12099190056324005,0.08360620588064194,0.13793975114822388,0.15815287828445435
