epoch,loss,lr,mae,val_loss,val_mae
0,1.4281492233276367,0.001,0.35244956612586975,1.359789252281189,0.4702513813972473
1,0.9721823930740356,0.001,0.13564631342887878,0.8150827288627625,0.08708009868860245
2,0.7058542966842651,0.001,0.11024323105812073,0.5965705513954163,0.1292041540145874
3,0.5043448209762573,0.001,0.10396283864974976,0.43979689478874207,0.16312605142593384
4,0.3591010570526123,0.001,0.09524969756603241,0.31840837001800537,0.15678872168064117
5,0.2601650059223175,0.001,0.0939822569489479,0.23409204185009003,0.13864654302597046
6,0.19319848716259003,0.001,0.09223881363868713,0.23690800368785858,0.25233665108680725
7,0.14861619472503662,0.001,0.09172198921442032,0.12456358224153519,0.06858696043491364
8,0.11886005103588104,0.001,0.09368504583835602,0.09943224489688873,0.06831265985965729
9,0.10037526488304138,0.001,0.10086485743522644,0.0887816995382309,0.09608142822980881
10,0.08065833896398544,0.001,0.08877256512641907,0.07513634860515594,0.09798721224069595
11,0.06951428949832916,0.001,0.08918217569589615,0.06359261274337769,0.08803451806306839
12,0.06072882562875748,0.001,0.09071125835180283,0.06024308502674103,0.09597528725862503
13,0.05458120256662369,0.001,0.09291117638349533,0.051505833864212036,0.09667422622442245
14,0.04637765511870384,0.001,0.08223684877157211,0.05147044360637665,0.12168541550636292
15,0.04205966368317604,0.001,0.08080793917179108,0.04251519963145256,0.09507916867733002
16,0.03976491838693619,0.001,0.0840872973203659,0.03288630023598671,0.06601356714963913
17,0.036382194608449936,0.001,0.08417204767465591,0.039008185267448425,0.10568750649690628
18,0.03552968427538872,0.001,0.08588960766792297,0.06678098440170288,0.18862959742546082
19,0.03278733417391777,0.001,0.08645886182785034,0.042811330407857895,0.12748083472251892
20,0.02947860211133957,0.001,0.08202090859413147,0.026676611974835396,0.07428484410047531
21,0.03042585961520672,0.001,0.08559706062078476,0.021433917805552483,0.046254418790340424
22,0.026336446404457092,0.001,0.0805843248963356,0.023033728823065758,0.0743216946721077
23,0.025243306532502174,0.001,0.08001184463500977,0.04300140216946602,0.14964427053928375
24,0.03006594255566597,0.001,0.09410417079925537,0.03267284110188484,0.11283022910356522
25,0.028051936998963356,0.001,0.09081371128559113,0.020899301394820213,0.06299469619989395
26,0.027982626110315323,0.001,0.09081971645355225,0.020234934985637665,0.06707124412059784
27,0.024560701102018356,0.001,0.08966411650180817,0.027149701490998268,0.09807129204273224
28,0.02457267791032791,0.001,0.08975567668676376,0.06262355297803879,0.18831953406333923
29,0.022876007482409477,0.001,0.08353065699338913,0.016498075798153877,0.060347478836774826
30,0.021664515137672424,0.001,0.08166293054819107,0.0200800783932209,0.0844184011220932
31,0.021648753434419632,0.001,0.085839182138443,0.02671125717461109,0.10293726623058319
32,0.02141953818500042,0.001,0.08266127109527588,0.01469520851969719,0.054134950041770935
33,0.019882051274180412,0.001,0.08227040618658066,0.02475137636065483,0.10947597771883011
34,0.02086176536977291,0.001,0.08690783381462097,0.01629030518233776,0.06564679741859436
35,0.019285760819911957,0.001,0.08192737400531769,0.018602309748530388,0.08218376338481903
36,0.0204293355345726,0.001,0.0849592387676239,0.038117729127407074,0.13784611225128174
37,0.020281417295336723,0.001,0.08364132046699524,0.0189302209764719,0.08339138329029083
38,0.02004638873040676,0.001,0.08311574906110764,0.18073374032974243,0.38765573501586914
39,0.02088482864201069,0.001,0.08590986579656601,0.020878074690699577,0.09524495899677277
40,0.020446911454200745,0.001,0.08501943945884705,0.017231278121471405,0.07057331502437592
41,0.02138553559780121,0.001,0.09095247834920883,0.11091598123311996,0.3037540316581726
42,0.017752695828676224,0.001,0.07721946388483047,0.01955912634730339,0.08686663955450058
43,0.016301097348332405,0.0005,0.07586563378572464,0.031634628772735596,0.14015242457389832
44,0.016425540670752525,0.0005,0.08028300851583481,0.012534882873296738,0.06104300916194916
45,0.015281918458640575,0.0005,0.07460492104291916,0.012768135406076908,0.06795535236597061
46,0.014600704424083233,0.0005,0.0725984051823616,0.013182925991714,0.06873346120119095
47,0.01484729815274477,0.0005,0.07478021085262299,0.02577807381749153,0.1211126521229744
48,0.01601344347000122,0.0005,0.08098472654819489,0.019920548424124718,0.09508432447910309
49,0.014954947866499424,0.0005,0.0724654346704483,0.013418550603091717,0.07168306410312653
